12	11	E	-1.0434531941271517E7	198
emissionprobs	6	6	H3k4me2AlnRep1	1	0.00936845539352859
emissionprobs	6	7	H3k4me3AlnRep1	0	0.9990003113239494
emissionprobs	6	7	H3k4me3AlnRep1	1	9.996886760505871E-4
emissionprobs	6	8	H3k79me2AlnRep1	0	0.4166591523324679
emissionprobs	6	8	H3k79me2AlnRep1	1	0.583340847667532
emissionprobs	6	9	H3k9acAlnRep1	0	0.9921117244538498
emissionprobs	6	9	H3k9acAlnRep1	1	0.007888275546150219
emissionprobs	6	10	Pol2bAlnRep1	0	0.9559307086279241
emissionprobs	6	10	Pol2bAlnRep1	1	0.04406929137207597
emissionprobs	7	0	CtcfAlnRep1	0	0.9887920413292176
emissionprobs	7	0	CtcfAlnRep1	1	0.011207958670782335
emissionprobs	7	1	EzhAlnRep1	0	0.9965204861860377
emissionprobs	7	1	EzhAlnRep1	1	0.0034795138139622254
emissionprobs	7	2	H3k04meAlnRep1	0	0.996539739781434
emissionprobs	7	2	H3k04meAlnRep1	1	0.003460260218566156
emissionprobs	7	3	H3k09meAlnRep1	0	0.99742390608791
emissionprobs	7	3	H3k09meAlnRep1	1	0.0025760939120899754
emissionprobs	7	4	H3k27acAlnRep1	0	0.9993861163661056
emissionprobs	7	4	H3k27acAlnRep1	1	6.138836338943103E-4
emissionprobs	7	5	H3k36me3AlnRep1	0	0.9900602771750704
emissionprobs	7	5	H3k36me3AlnRep1	1	0.009939722824929565
emissionprobs	7	6	H3k4me2AlnRep1	0	0.9995072304649156
emissionprobs	7	6	H3k4me2AlnRep1	1	4.927695350843E-4
emissionprobs	7	7	H3k4me3AlnRep1	0	0.9994087983505091
emissionprobs	7	7	H3k4me3AlnRep1	1	5.912016494908211E-4
emissionprobs	7	8	H3k79me2AlnRep1	0	0.9813718514521766
emissionprobs	7	8	H3k79me2AlnRep1	1	0.018628148547823402
emissionprobs	7	9	H3k9acAlnRep1	0	0.9934542841292859
emissionprobs	7	9	H3k9acAlnRep1	1	0.0065457158707140275
emissionprobs	7	10	Pol2bAlnRep1	0	0.9605681469945673
emissionprobs	7	10	Pol2bAlnRep1	1	0.039431853005432616
emissionprobs	8	0	CtcfAlnRep1	0	0.9954713574276833
emissionprobs	8	0	CtcfAlnRep1	1	0.004528642572316711
emissionprobs	8	1	EzhAlnRep1	0	0.9954039009375222
emissionprobs	8	1	EzhAlnRep1	1	0.004596099062477837
emissionprobs	8	2	H3k04meAlnRep1	0	0.9995516631815752
emissionprobs	8	2	H3k04meAlnRep1	1	4.483368184249415E-4
emissionprobs	8	3	H3k09meAlnRep1	0	0.9974996407656743
emissionprobs	8	3	H3k09meAlnRep1	1	0.002500359234325752
emissionprobs	8	4	H3k27acAlnRep1	0	0.9999570049911671
emissionprobs	8	4	H3k27acAlnRep1	1	4.299500883299224E-5
emissionprobs	8	5	H3k36me3AlnRep1	0	0.9998877454092656
emissionprobs	8	5	H3k36me3AlnRep1	1	1.1225459073445552E-4
emissionprobs	8	6	H3k4me2AlnRep1	0	0.9997254237755602
emissionprobs	8	6	H3k4me2AlnRep1	1	2.745762244397775E-4
emissionprobs	8	7	H3k4me3AlnRep1	0	0.999907609912664
emissionprobs	8	7	H3k4me3AlnRep1	1	9.239008733586256E-5
emissionprobs	8	8	H3k79me2AlnRep1	0	0.9977852890589536
emissionprobs	8	8	H3k79me2AlnRep1	1	0.0022147109410464026
emissionprobs	8	9	H3k9acAlnRep1	0	0.9993364769801919
emissionprobs	8	9	H3k9acAlnRep1	1	6.63523019808058E-4
emissionprobs	8	10	Pol2bAlnRep1	0	0.9861888682092074
emissionprobs	8	10	Pol2bAlnRep1	1	0.013811131790792559
emissionprobs	9	0	CtcfAlnRep1	0	0.47312682756958924
emissionprobs	9	0	CtcfAlnRep1	1	0.5268731724304109
emissionprobs	9	1	EzhAlnRep1	0	0.9197468992120045
emissionprobs	9	1	EzhAlnRep1	1	0.08025310078799557
emissionprobs	9	2	H3k04meAlnRep1	0	0.9521948287848869
emissionprobs	9	2	H3k04meAlnRep1	1	0.04780517121511308
emissionprobs	9	3	H3k09meAlnRep1	0	0.9787634961758268
